"ParkCode","ParkName","CategoryName","Order","Family","SciName","CommonNames","Occurrence","Nativeness","Abundance","ParkTags","ElevationRange","TaxaGroup"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Muridae","Rattus rattus","BLACK RAT","Present","Non-native","Rare","Elevation Range: Low to High; Habit: Nocturnal; Park Rank: Park rare; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Sciuridae","Glaucomys volans","SOUTHERN FLYING SQUIRREL","Present","Native","Common","Elevation Range: Low; Habit: Nocturnal; Habitat: terrestrial; Park Rank: Park uncommon; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Sciuridae","Marmota monax","WOODCHUCK","Present","Native","Uncommon","Elevation Range: Low to High; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Sciuridae","Sciurus carolinensis","eastern gray squirrel","Present","Native","Common","Elevation Range: Low to High; Park Rank: Park common; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Sciuridae","Sciurus niger","eastern fox squirrel","Present","Native","Rare","Elevation Range: Mid; Species Record Status: Pre 1998; Taxa Group: Mammal","Mid","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Sciuridae","Tamias striatus","EASTERN CHIPMUNK","Present","Native","Common","Elevation Range: Low to High; Park Rank: Park uncommon; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Sciuridae","Tamiasciurus hudsonicus","RED SQUIRREL","Present","Native","Common","Elevation Range: Low to High; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Soricomorpha","Soricidae","Blarina brevicauda","Northern Short-tailed Shrew, Big Short-Tailed Shrew","Present","Native","Common","Elevation Range: Low to High; Habitat: terrestrial; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Soricomorpha","Soricidae","Cryptotis parva","LEAST SHREW","Present","Native","Uncommon","Elevation Range: Low; Habitat: terrestrial; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Soricomorpha","Soricidae","Sorex dispar","LONG-TAILED OR ROCK SHREW, LONG-TAILED SHREW","Present","Native","Uncommon","Elevation Range: Mid to High; Habitat: terrestrial; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Mid to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Soricomorpha","Soricidae","Sorex hoyi","PYGMY SHREW","Present","Native","Uncommon","Elevation Range: High; Park Rank: Park rare; Species Record Status: Pre 1998; Taxa Group: Mammal","High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Soricomorpha","Soricidae","Sorex longirostris","SOUTHEASTERN SHREW","Present","Native","Rare","Elevation Range: Low; Habitat: terrestrial; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Soricomorpha","Soricidae","Sorex palustris","WATER SHREW","Present","Native","Rare","Elevation Range: Mid to High; Habitat: terrestrial; Park Rank: Park rare; Species Record Status: Pre 1998; Taxa Group: Mammal","Mid to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Soricomorpha","Talpidae","Condylura cristata","STAR-NOSED MOLE","Present","Native","Rare","Elevation Range: Low to High; Habitat: terrestrial; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Soricomorpha","Talpidae","Parascalops breweri","HAIRY-TAILED MOLE","Present","Native","Common","Elevation Range: Low to High; Park Rank: Park uncommon; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Bird","Gruiformes","Aramidae","Aramus guarauna","Limpkin","Present","Unknown","Rare","Elevation Range: Low to Mid; Habitat: terrestrial; Park Rank: Park historic; Species Record Status: New to Park; Taxa Group: Bird","Low to Mid","Bird"
"GRSM","Great Smoky Mountains National Park","Amphibian","Anura","Bufonidae","Anaxyrus americanus","Eastern American Toad","Present","Native","Abundant","Elevation Range: Low to High; Park Rank: Park infrequent; Taxa Group: Amphibian; Taxa Subcategory: Frog","Low to High","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Anura","Bufonidae","Anaxyrus fowleri","Fowler's Toad","Present","Native","Uncommon","Elevation Range: Low to Mid; Taxa Group: Amphibian","Low to Mid","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Anura","Hylidae","Hyla chrysoscelis","Cope's Gray Treefrog","Present","Native","Uncommon","Elevation Range: Low; Habitat: terrestrial; Park Rank: Park infrequent; Taxa Group: Amphibian; Taxa Subcategory: Frog","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Anura","Hylidae","Pseudacris feriarum feriarum","Upland Chorus Frog","Present","Native","Uncommon","Elevation Range: Low; Habitat: terrestrial; Park Rank: Park scarce; Taxa Group: Amphibian","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Anura","Microhylidae","Gastrophryne carolinensis","Eastern Narrow-mouthed Toad","Present","Native","Rare","Elevation Range: Low; Park Rank: Park rare; Taxa Group: Amphibian","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Anura","Scaphiopodidae","Scaphiopus holbrookii holbrookii","EASTERN SPADEFOOT","Present","Native","Rare","Elevation Range: Low; Habitat: terrestrial; Taxa Group: Amphibian","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Ambystomatidae","Ambystoma maculatum","SPOTTED SALAMANDER","Present","Native","Uncommon","Elevation Range: Low; Habitat: lentic-littoral-hydrophytes-Submerged zone, terrestrial; Park Rank: Park scarce; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Ambystomatidae","Ambystoma opacum","MARBLED SALAMANDER","Present","Native","Uncommon","Elevation Range: Low; Habitat: lentic-littoral-hydrophytes-Submerged zone, terrestrial; Park Rank: Park rare; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Ambystomatidae","Ambystoma talpoideum","Mole Salamander","Present","Native","Rare","Elevation Range: Low; Habitat: terrestrial; Park Rank: Park rare; Taxa Group: Amphibian","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Desmognathus adatsihi","Great Smokies Mountain Dusky Salamander, Cherokee Mountain Dusky Salamander","Present","Native","Common","Elevation Range: High; Habit: Primarily Ground; Habitat: terrestrial; Park Rank: Park infrequent; Species Record Status: New to Science; Endemism: Southern Appalachian Endemic; Taxa Group: Amphibian; Taxa Subcategory: Salamander","High","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Desmognathus conanti","Spotted Dusky Salamander","Present","Native","Common","Elevation Range: Low; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Desmognathus gvnigeusgwotli","Cherokee Black-Bellied Salamander","Present","Native","Common","Elevation Range: Low to Mid; Habitat: semi-aquatic; Park Rank: Park common; Species Record Status: New to Science; Trophic Class: Predator-Engulfer; Endemism: Southern Appalachian Endemic; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low to Mid","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Desmognathus imitator","IMITATOR SALAMANDER","Present","Native","Common","Elevation Range: High; Park Rank: Park infrequent; Endemism: Park Endemic; Taxa Group: Amphibian; Taxa Subcategory: Salamander","High","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Desmognathus monticola","SEAL SALAMANDER","Present","Native","Common","Elevation Range: Low to Mid; Park Rank: Park uncommon; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low to Mid","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Desmognathus wrighti","Pigmy Salamander","Present","Native","Common","Elevation Range: High; Habitat: terrestrial; Park Rank: Park uncommon; Endemism: Southern Appalachian Endemic; Taxa Group: Amphibian","High","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Eurycea guttolineata","THREE-LINED SALAMANDER","Present","Native","Rare","Elevation Range: Low; Habitat: lotic-depositional-detritus; Park Rank: Park rare; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Eurycea junaluska","JUNALUSKA SALAMANDER","Present","Native","Rare","Elevation Range: Low; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Eurycea lucifuga","CAVE SALAMANDER","Present","Native","Rare","Elevation Range: Low; Habitat: terrestrial; Park Rank: Park rare; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Eurycea wilderae","Blue Ridge Two-lined Salamander","Present","Native","Common","Elevation Range: Low and High; Habitat: terrestrial; Park Rank: Park common; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low and High","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Hemidactylium scutatum","Four-toed Salamander","Present","Native","Uncommon","Elevation Range: Low; Habitat: terrestrial; Taxa Group: Amphibian","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Plethodon glutinosus","Northern Slimy Salamander, Northern Slimy Salamander complex","Present","Native","Common","Elevation Range: Low to Mid; Habitat: terrestrial; Park Rank: Park uncommon; Taxa Group: Amphibian","Low to Mid","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Plethodon jordani","Red-cheeked Salamander","Present","Native","Common","Elevation Range: Low to High; Habitat: terrestrial; Endemism: Park Endemic; Taxa Group: Amphibian; Taxa Subcategory: Salamander; Wetland Status: Facultative","Low to High","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Plethodon oconaluftee","Southern Appalachian Salamander","Present","Native","Common","Elevation Range: Mid; Habitat: terrestrial; Taxa Group: Amphibian","Mid","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Plethodon serratus","Southern Red-backed Salamander","Present","Native","Common","Elevation Range: Low to Mid; Habitat: terrestrial; Park Rank: Park uncommon; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low to Mid","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Plethodontidae","Pseudotriton ruber schencki","BLACKCHIN RED SALAMANDER","Present","Native","Common","Elevation Range: Low; Habitat: lotic-depositional-sediments, terrestrial; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Proteidae","Necturus maculosus maculosus","Common Mudpuppy","Present","Native","Rare","Elevation Range: Low; Habitat: lotic-depositional-detritus; Park Rank: Park rare; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Amphibian","Caudata","Salamandridae","Notophthalmus viridescens viridescens","Red-spotted Newt","Present","Native","Common","Elevation Range: Low; Habitat: terrestrial; Taxa Group: Amphibian; Taxa Subcategory: Salamander","Low","Amphibian"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Acorales","Acoraceae","Acorus calamus","Calamus","Present","Non-native","Rare","Elevation Range: Homesites; Life form: Perennial Herb; Park Rank: Park rare; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Wetland Status: Obligate Wetland; Bloom Time: May, June","Homesites","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Alismataceae","Alisma subcordatum","American Water Plantain","Present","Native","Rare","Elevation Range: Low; Life form: Aquatic; Park Rank: Park rare; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Wetland Status: Obligate Wetland; Bloom Time: April, May, June, July, August, September, October, November","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Alismataceae","Sagittaria latifolia var. pubescens","Broadleaf Arrowhead","Present","Native","Rare","Elevation Range: Low; Life form: Perennial Herb; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Bloom Time: July, August, September, October","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Araceae","Arisaema dracontium","Green Dragon","Present","Native","Rare","Elevation Range: Low; Habitat: terrestrial; Life form: Perennial Herb; Park Rank: Park rare; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Wetland Status: Facultative Wetland; Bloom Time: May","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Araceae","Arisaema quinatum","Jack in the Pulpit","Present","Native","Unknown","Elevation Range: Low; Life form: Perennial Herb; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Bloom Time: March, April, May","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Araceae","Arisaema triphyllum","Jack in the Pulpit","Present","Native","Common","Elevation Range: Wide Range; Habitat: terrestrial; Life form: Perennial Herb; Park Rank: Park common; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Wetland Status: Facultative Wetland; Bloom Time: March, April, May, June","Wide Range","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Araceae","Lemna minuta","Least Duckweed","Present","Native","Rare","Elevation Range: Low; Life form: Aquatic; Park Rank: Park rare; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Wetland Status: Obligate Wetland","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Araceae","Lemna valdiviana","Valdivia Duckweed","Present","Native","Rare","Elevation Range: Low; Life form: Aquatic; Park Rank: Park rare; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Wetland Status: Obligate Wetland","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Araceae","Wolffia brasiliensis","Brazilian Watermeal","Present","Native","Rare","Elevation Range: Low; Life form: Aquatic; Park Rank: Park rare; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Wetland Status: Obligate Wetland","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Hydrocharitaceae","Elodea canadensis","Canadian Waterweed","Present","Native","Rare","Elevation Range: Low; Park Rank: Park rare; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Wetland Status: Obligate Wetland; Bloom Time: July, August, September","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Potamogetonaceae","Potamogeton","Pondweed","Present","Native","Unknown","Elevation Range: Low; Life form: Aquatic; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Potamogetonaceae","Potamogeton amplifolius","Largeleaf Pondweed","Present","Native","Rare","Elevation Range: Low; Life form: Aquatic; Park Rank: Park scarce; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Wetland Status: Obligate Wetland; Bloom Time: July, August, September","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Potamogetonaceae","Potamogeton diversifolius","Waterthread Pondweed","Present","Native","Rare","Elevation Range: Low; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Wetland Status: Obligate Wetland; Bloom Time: June, July, August, September","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Alismatales","Potamogetonaceae","Potamogeton tennesseensis","Tennessee Pondweed","Present","Native","Rare","Elevation Range: Low; Life form: Aquatic; Park Rank: Park rare; Taxa Group: Vascular-plant; Taxa Subcategory: Monocot; Wetland Status: Obligate Wetland; Bloom Time: May, June, July, August, September","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Apiales","Apiaceae","Aegopodium podagraria","Bishop's Goutweed","Present","Non-native","Rare","Elevation Range: Low; Life form: Perennial Herb; Park Rank: Park rare; Taxa Group: Vascular-plant; Taxa Subcategory: Dicot; Wetland Status: Facultative Upland; Bloom Time: May, June","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Apiales","Apiaceae","Angelica triquinata","Filmy Angelica","Present","Native","Common","Elevation Range: High; Habitat: terrestrial; Life form: Perennial Herb; Park Rank: Park common; Taxa Group: Vascular-plant; Taxa Subcategory: Dicot; Bloom Time: August, September","High","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Apiales","Apiaceae","Angelica venenosa","Hairy Angelica","Present","Native","Common","Elevation Range: Low to Mid; Life form: Perennial Herb; Park Rank: Park common; Taxa Group: Vascular-plant; Taxa Subcategory: Dicot; Bloom Time: June, July, August","Low to Mid","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Apiales","Apiaceae","Chaerophyllum procumbens var. procumbens","Spreading Chervil","Present","Native","Rare","Elevation Range: Low; Park Rank: Park rare; Taxa Group: Vascular-plant; Taxa Subcategory: Dicot; Bloom Time: April, May","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Apiales","Apiaceae","Chaerophyllum tainturieri","Hairyfruit Chervil","Present","Native","Uncommon","Elevation Range: Low; Life form: Annual herb; Park Rank: Park uncommon; Taxa Group: Vascular-plant; Taxa Subcategory: Dicot; Wetland Status: Facultative; Bloom Time: March, April","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Apiales","Apiaceae","Cicuta maculata","Spotted Water Hemlock","Present","Native","Rare","Elevation Range: Low; Life form: Perennial Herb; Park Rank: Park scarce; Taxa Group: Vascular-plant; Taxa Subcategory: Dicot; Wetland Status: Obligate Wetland; Bloom Time: May, June, July, August","Low","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Apiales","Apiaceae","Cryptotaenia canadensis","Canadian Honewort","Present","Native","Common","Elevation Range: Low to Mid; Life form: Perennial Herb; Park Rank: Park common; Taxa Group: Vascular-plant; Taxa Subcategory: Dicot; Wetland Status: Facultative; Bloom Time: May, June","Low to Mid","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Apiales","Apiaceae","Daucus carota","Queen Anne's Lace","Present","Non-native","Abundant","Elevation Range: Wide Range; Life form: Biennial herb; Park Rank: Park common; Taxa Group: Vascular-plant; Taxa Subcategory: Dicot; Wetland Status: Obligate Upland; Bloom Time: May, June, July, August, September","Wide Range","Vascular-plant"
"GRSM","Great Smoky Mountains National Park","Vascular Plant","Apiales","Apiaceae","Eryngium prostratum","Creeping Eryngo","Present","Native","Rare","Elevation Range: Low; Life form: Perennial Herb; Taxa Group: Vascular-plant; Taxa Subcategory: Dicot; Wetland Status: Obligate Wetland; Bloom Time: May, June, July, August, September, October","Low","Vascular-plant"
